OCCITANIE;45 BACS ↓;;Attention vérifier si le batiment est pérenne et bien occupée par le propriétaire interne avant toute investigation;;;Eligibilite BACS;;;JP;;;;;;;;;;;SUIVI;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
region SNCF;UT-BAT;m² bat;Portefeuille;DESCRIPTION UT;BIEN;Puissance Cumulée (KW);Type BACS ;Zone E2MT;Libelle proprietaire juridique;Libelle proprietaire interne;Libelle statut juridique;Libelle perimetre;Libelle nature de bien;Libelle destination de bien;Libelle code emploi;Entite Regionale;Code departement;Libelle departement;Date Debut Existence du Bien;Pérénité en année du batiment;Date étude;Budget validé oui/non;Début travaux;Nom entreprise;date fin travaux;commentaires;Colonne1
47;004820Y-B 022;997;FERROVIAIRE;ALBI VILLE GARE - 004820Y;004820Y-B 022 - U.O Tarn - Aveyron;452;BACS 290;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;81;TARN;01/01/1914;;;;2025;SNEF;;GTB intégrée dans le projet Maintenir Demain;004820Y-B 022  ALBI VILLE GARE - 004820Y
59;006180J-B 163;158;INDUSTRIEL;BEZIERS GARE ;ANNEXE LIGNE DIRECTE;100;BACS 70 ;ZONE 4.1;SNCF VOYAGEURS;HORS ISM VOY Dir cent 10073 18962 64726;PROPRIETE;DI - VFE GL;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;34;HERAULT;01/11/1995;;;;;;;;006180J-B 163  BEZIERS GARE 
59;006180J-B 050;972;INDUSTRIEL;BEZIERS GARE ;ECOLE VOIE + LOCAL LIGNE DIRECTE + LT ;168;BACS 70 ;ZONE 4.1;SNCF VOYAGEURS;DETOURAGE VOY POUR RESEAU 13335 19595 01059;PROPRIETE;DI - VFE GL;BUREAUX;BAT INST CENTRE DE FORM;EN SERVICE;DIT Grand Sud;34;HERAULT;01/01/1914;;;;;;;;006180J-B 050  BEZIERS GARE 
59;006180J-B 132;489;INDUSTRIEL;BEZIERS GARE ;VESTIAIRE N1 ET N2;409;BACS 290;ZONE 4.1;SNCF VOYAGEURS;MATERIEL 13340 19522 03324;PROPRIETE;DI - MATERIEL;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;34;HERAULT;01/01/1914;;;;;;;;006180J-B 132  BEZIERS GARE 
59;006180J-B 202;357;FERROVIAIRE;BEZIERS GARE ;BIEN RFF N 80567;130;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ACTIVITE;INCONNU;EN SERVICE;DIT Grand Sud;34;HERAULT;24/07/2013;;;;;;;;006180J-B 202  BEZIERS GARE 
59;003219U-B 023;790;FERROVIAIRE;CARCASSONNE GARE ;BAT DE SERVICE : ENTREPOT ;106;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;11;AUDE;01/01/1914;;;;;;;;003219U-B 023  CARCASSONNE GARE 
59;006737W-B 086;160;FERROVIAIRE;CERBERE GARE ;BAT DE SERVICES;96;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ACTIVITE;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;66;PYRENEES ORIENTALES;07/04/2011;;;;;;;;006737W-B 086  CERBERE GARE 
47;004691V-B 046;486;INDUSTRIEL;LOURDES GARE;BUREAUX ;115;BACS 70 ;ZONE 4.1;SNCF VOYAGEURS;ISM Axe Atlantique 10073 01310 01335;PROPRIETE;DI - MATERIEL;BUREAUX;BAT ADMINISTRATIF;EN SERVICE;DIT Grand Sud;65;HAUTES PYRENEES;01/01/1914;;;;;;;;004691V-B 046  LOURDES GARE
59;006604P-B 025;111;FERROVIAIRE;MENDE GARE ;ABRI BRIGADE ENTREPOT ;79;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;48;LOZERE;01/10/1987;;;;;;;;006604P-B 025  MENDE GARE 
47;004883W-B 045;501;FERROVIAIRE;MONTAUBAN VILLE BOURBON ;LOCAL EQUIPE V (U.P);81;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;82;TARN ET GARONNE;01/01/1914;;;;;;;GTB intégrée dans le projet Maintenir Demain;004883W-B 045  MONTAUBAN VILLE BOURBON 
59;006233T-B 078;1818;FERROVIAIRE;MONTPELLIER PRES D ARENES GARE;BAT ADMINISTRATIF;281;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;BUREAUX;BAT ADMINISTRATIF;EN SERVICE;DIT Grand Sud;34;HERAULT;10/03/2016;;;;;;;;006233T-B 078  MONTPELLIER PRES D ARENES GARE
59;005654V-B 081;500;FERROVIAIRE;NARBONNE GARE ;SERVICE POSTE J P.C.T;129;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;11;AUDE;01/01/1978;;;;;;;;005654V-B 081  NARBONNE GARE 
59;005654V-B 014;433;FERROVIAIRE;NARBONNE GARE ;BAT DE SERVICE : SERVICES DIVERS ;160;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;11;AUDE;01/01/1914;;;;;;;;005654V-B 014  NARBONNE GARE 
59;006122P-B 043;268;INDUSTRIEL;NIMES COURBESSAC ;BAT ADMNISITRATIF : TGV LN 5 ;1200;BACS 290;ZONE 4.1;SNCF VOYAGEURS;DETOURAGE VOY POUR RESEAU 13335 19595 01059;PROPRIETE;DI - INFRASTRUCTURE GID;BUREAUX;BAT ADMINISTRATIF;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 043  NIMES COURBESSAC 
59;006122P-B 044;98;INDUSTRIEL;NIMES COURBESSAC ;BAT ADMNISITRATIF : TGV LN 4;1200;BACS 290;ZONE 4.1;SNCF VOYAGEURS;DETOURAGE VOY POUR RESEAU 13335 19595 01059;PROPRIETE;DI - INFRASTRUCTURE GID;BUREAUX;BAT ADMINISTRATIF;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 044  NIMES COURBESSAC 
59;006122P-B 149;6000;INDUSTRIEL;NIMES COURBESSAC ;ATELIER MAINTENANCE FRET ;1212;BACS 290;ZONE 4.1;SNCF VOYAGEURS;ISM MATERIEL 13340 66613 01391;PROPRIETE;DI - MATERIEL;ACTIVITE;ATELIER;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 149  NIMES COURBESSAC 
59;006122P-B 077;754;INDUSTRIEL;NIMES COURBESSAC ;BAT DE SERVICE UPTRACTION ;2458;BACS 290;ZONE 4.1;SNCF VOYAGEURS;MATERIEL 13340 19522 03290;PROPRIETE;DI - TRACTION;ACTIVITE;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1948;;;;;;;;006122P-B 077  NIMES COURBESSAC 
59;006122P-B 154;8692;INDUSTRIEL;NIMES COURBESSAC ;ATELIER ORGANES DE ROULEMENT;87;BACS 70 ;ZONE 4.1;SNCF VOYAGEURS;MATERIEL 13340 19522 03325;PROPRIETE;DI - MATERIEL;ACTIVITE;ATELIER;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 154  NIMES COURBESSAC 
59;006122P-B 155;1191;INDUSTRIEL;NIMES COURBESSAC ;OUTILLAGE MATERIEL COMPRES ADMIST;362;BACS 290;ZONE 4.1;SNCF VOYAGEURS;MATERIEL 13340 19522 03325;PROPRIETE;DI - MATERIEL;ACTIVITE;ATELIER;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 155  NIMES COURBESSAC 
59;006122P-B 167;487;INDUSTRIEL;NIMES COURBESSAC ;VESTIAIRE SANITAIRE ;248;BACS 70 ;ZONE 4.1;SNCF VOYAGEURS;MATERIEL 13340 19522 03325;PROPRIETE;DI - MATERIEL;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 167  NIMES COURBESSAC 
59;006122P-B 026;1285;INDUSTRIEL;NIMES COURBESSAC ;BAT FRET : MAGASIN OCC TER ;1527;BACS 290;ZONE 4.1;FRET SNCF;FRET IMMO;PROPRIETE;MOB-DI-FRET;ENTREPOT;BAT FRET-QUAI COUV FERME;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 026  NIMES COURBESSAC 
59;006122P-B 065;1887;INDUSTRIEL;NIMES COURBESSAC ;ATELIER DEPOT GARAGE CREM;520;BACS 290;ZONE 4.1;SNCF VOYAGEURS;DETOURAGE VOY POUR RESEAU 13335 19595 01059;PROPRIETE;DI - TRACTION;ENTREPOT;ATELIER;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1884;;;;;;;;006122P-B 065  NIMES COURBESSAC 
59;006122P-B 151;1240;INDUSTRIEL;NIMES COURBESSAC ;STOCK PIECES ;1978;BACS 290;ZONE 4.1;SNCF VOYAGEURS;MATERIEL 13340 19522 03789;PROPRIETE;DI - MATERIEL;ACTIVITE;MAGASIN GENERAL;EN SERVICE;DIT Grand Sud;30;GARD;01/01/1914;;;;;;;;006122P-B 151  NIMES COURBESSAC 
59;006122P-B 224;33;INDUSTRIEL;NIMES COURBESSAC ;ENTREPOT : LOCAL CHAUDIERE ;1740;BACS 290;ZONE 4.1;SNCF VOYAGEURS;ISM MATERIEL 13340 66613 01391;PROPRIETE;DI - MATERIEL;ENTREPOT;BAT  INST ELECTRIQUE;EN SERVICE;DIT Grand Sud;30;GARD;11/12/2007;;;;;;;;006122P-B 224  NIMES COURBESSAC 
59;006122P-B 225;33;INDUSTRIEL;NIMES COURBESSAC ;ENTREPOT : LOCAL CHAUDIERE ;2030;BACS 290;ZONE 4.1;SNCF VOYAGEURS;MATERIEL 13340 19522 03325;PROPRIETE;DI - MATERIEL;ENTREPOT;BAT  INST ELECTRIQUE;EN SERVICE;DIT Grand Sud;30;GARD;13/12/2007;;;;;;;;006122P-B 225  NIMES COURBESSAC 
59;006122P-B 226;2929;INDUSTRIEL;NIMES COURBESSAC ; ;1247;BACS 290;ZONE 4.1;SNCF VOYAGEURS;ISM TER OCCITANIE 01500 00785 01288;PROPRIETE;DI - MATERIEL;ACTIVITE;ATELIER;EN SERVICE;DIT Grand Sud;30;GARD;01/04/2008;;;;;;;;006122P-B 226  NIMES COURBESSAC 
59;006764P-B 148;1243;FERROVIAIRE;PERPIGNAN GARE ;PRCI GV ;249;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ACTIVITE;POSTE D'AIGUILLAGE;EN SERVICE;DIT Grand Sud;66;PYRENEES ORIENTALES;23/03/2009;;;;;;;;006764P-B 148  PERPIGNAN GARE 
59;008291L-B 013;535;INDUSTRIEL;PERPIGNANN ROUSSILLON P GARE ;BAT FRET ENTREPOT ;1225;BACS 290;ZONE 4.1;FRET SNCF;FRET IMMO;PROPRIETE;MOB-DI-FRET;ENTREPOT;BAT FRET - ENTREPOT;EN SERVICE;DIT Grand Sud;66;PYRENEES ORIENTALES;15/07/1985;;;;;;;;008291L-B 013  PERPIGNANN ROUSSILLON P GARE 
47;003280M-B 046;850;FERROVIAIRE;RODEZ GARE ;BAT A USAGE D HABITATION ;128;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;LOGEMENT;BAT A USAGE D'HABITATION;EN SERVICE;DIT Grand Sud;12;AVEYRON;01/01/1914;;;;;;;Bâtiment au 3/4 vides - attente de son devenir;003280M-B 046  RODEZ GARE 
59;008677E-B 001;779;FERROVIAIRE;ROQUEMAURE BASE MAINTENANCE TGVME;BASE MAINTENANCE TGVME;210;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;30;GARD;10/06/2001;;;;;;;;008677E-B 001  ROQUEMAURE BASE MAINTENANCE TGVME
47;003778E-B 080;263;FERROVIAIRE;SAINT JORY P TRIAGE ;ENTREPOT : CREM ;145;BACS 70 ;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;31;HAUTE GARONNE;31/12/1989;;;;;;;B3 en cours - C4 à faire ensuite;003778E-B 080  SAINT JORY P TRIAGE 
47;003778E-B 040;772;FERROVIAIRE;SAINT JORY P TRIAGE - 003778E;003778E-B 040 - BATIMENT 40;334;BACS 290;ZONE 4.1;SNCF RESEAU;RESEAU AUTRE 13345 65213 01620;PROPRIETE;RFF;ENTREPOT;BAT DE SERVICE;EN SERVICE;DIT Grand Sud;31;HAUTE GARONNE;01/01/1947;;;;;;;Attendre dépose du système au fioul;003778E-B 040  SAINT JORY P TRIAGE - 003778E
